tsudayan	つだやん
bebi	べび
hazama	ハザマ
hiyamugi	冷や麦
sunato	すなと
ri	り
marokun	まろ君
ruina	るいな
okametsumamiya	おかめつまみ屋
tomo	とも
kapisuke	かぴすけ
umibouzu	海坊主
kohaku	琥珀
masayoshi	マサヨシ
taima	大麻
guratangou	グラタン号
marupo	まるぽ
nomizu	のみず
yaku	やく
runa	るな
emabu	えまぶ
ponue	ぽぬぇ
kanata	かなた
sakananomon	魚の門
rukibe	ルキベ
usamemasanobu	卯鮫正信
kanakyu	かなきゅ
sasurai	さすらい
watagumo	わたぐも
nobuakira	のぶあきら
ayayan	あややん
higashikata	ヒガシカタ
aki	あき
kuzuokiba	くず置き場
kaorin	かおりん
yawatako	やわたこ
mao	まお
rizume	りずめ
edakichi	枝吉
renamaru	れなまる
ameusagi	雨うさぎ
yuha	ゆは
tanishi	ﾀﾆｼ
kikusan	きくさん
karinosuke	カリノスケ
kanata	かなた
hideki	ひでき
sato	さと
akikaze	秋風
makoto	まこと
kensuou	けんすおう
reo	レオ
kajiki	カジキ
makai	マカイ
yuusan	ゆうさん
suzushi	すずし
sakura	サクラ
itatsu	いたつ
nemoren	ネモレン
hokahokamanjuu	ほかほかまんじゅう
ranmaru	蘭丸
konekochan	子猫ちゃん
yuru	ゆる
nowa	ノワ
machintamu	まちんたむ
yayuyo	やゆよ
yamachan	やまちゃん
fukenkou	不健康
furuido	ふるいど
yakumo	八雲
tomochi	ともち
yuzu	ゆず
asunaro	あすなろ
hisui	ひすい
migozuku	みごずく
robo	ろぼ
juju	呪呪
zura	ヅラ
orusuta	おるすた
fuiriifu	フイリイフ
shinosuke	しのすけ
tama	タマ
mikuteku	みくてく
tomozu	ともず
yapi	やぴ
nagomi	なごみ
kurogoma	くろごま
isao	いさお
matsuko	まつ子
nikuo	にくお
yuzukichi	ユズきち
heyakita	へやきた
wase	早生
kurowa	くろわ
denomotan	電おもたん
maru	まる
mizuno	水野
daizu	だいず
hitomiiko	ひとみいこ
yukineko	雪ねこ
aru	ある
takana	たかな
nakken	なっけん
chihomi	ちほみ
nie	にぇ
sakura	サクラ
yakumi	やくみ
minisere	みにせれ
doramusu	どらむす
aoharu	アオハル
yukimushi	ゆきむし
raputoru	ラプトル
pehede	ぺへで
yatogami	やとがみ
rukichi	ルキチ
pan	ぱん
purikun	ぷりくん
munpapi	むんぱぴ
ikumi	いくみ
shino	しの
nasumoku	なすもく
mana	まな
dozounonyaka	土蔵のにゃか
konkou	こんこう
rin	りん
ran	らん
ao	あお
inori	いのり
podenkun	ぽでんくん
yachui	やちゅい
usakokaeru	うさこカエル
yuusuke	ゆうすけ
hirota	廣田
sakiika	さきいか
mihochin	美穂ちん
yotsuba	四葉
nagi	なぎ
makaron	マカロン
noppe	のっぺ
kanakichi	かなきち
shitorera	シトレラ
darayama	ダラヤマ
dein	デイン
namappe	なまっぺ
maki	まき
imunomori	いむの森
okazora	おかぞら
asupara	アスパラ
kaju	かじゅ
mitsuo	みつお
mukkoro	むっころ
take	たけ
kazu	かず
michirushi	みちるし
hime	姫
npapapa	んぱぱぱ
erika	えりか
ittousei	一等星
kuroimegane	黒井眼鏡
kakinyako	かきにゃこ
niwasan	にわさん
ayami	あやみ
kiichi	きいち
kiyu	きゆ
kapihami	カピハミ
donkyuusai	鈍九斎
pekorun	ペコるん
aika	藍架
sekidousai	赤道斎
zazaboon	ざざぼーん
kieiro	きえいろ
miyatake	ミヤタケ
yamori	ヤモリ
sakana	さかな
mito	みと
ryokucha	緑茶
uchimomoniku	うちもも肉
nanonanao	なのななお
aoi	葵
haruurara	ハルウララ
kesera	ケセラ
noazami	のあざみ
sugita	スギタ
moko	モコ
juri	樹里
konkaron	コンカロン
ayaha	綾葉
aruchan	あるちゃん
panme	ぱんめ
gizura	ギズラ
momodaisuki	もも大好き
nanaonao	ななおなお
danna	旦那
yatohana	ヤトハナ
katsutake	カツタケ
yumemura	ゆめむら
yui	ゆい
mao	まお
santamama	サンタママ
yoshimizu	よしみず
narita	成田
toro	トロ
umi	うみ
seriha	芹葉
noshin	のしん
kasugasumomo	春日すもも
poyu	ぽゆ
yoshitaka	よしたか
hinaki	ひなき
yuzuki	ユズキ
kimidori	きみどり
ankou	あんこう
kanpan	かんぱん
mukkoro	むっころ
piroshi	ぴろし
sugimisu	スギミス
miso	みそ
yuipyon	ゆいぴょん
kuzumo	クズモ
tomomo	ともも
juju	じゅじゅ
tamago	たまご
tamo	たも
nashiko	なし子
mihopapa	みほぱぱ
myouga	ミョウガ
mao	まお
soranomameko	そらのまめこ
furemu	ふれむ
natsuisara	夏井さら
guhehechan	ぐへへちゃん
yayoi	弥生
ryuka	リュカ
nayuki	菜雪
ichino	いちの
asami	あさみ
mayu	ﾏﾕ
tsuginohihare	つぎのひはれ
fukapyon	ふかぴょん
nou	脳
danmaru	ダン丸
renon	れのん
yuzu	柚子
ami	あみ
yukiyuna	ゆきゆな
niiwa	にいわ
otafuku	オタフク
sasa	ささ
sakuranbo	さくらんぼ
kojo	コジョ
yun	ゆん
ata	あた
pupipo	ぷぴぽ
inupyon	犬ぴょん
pandaman	パンダマン
hina	雛
micha	みちゃ
fuwafuwasan	ふわふわさん
irugisu	イルギス
takamaru	たかまる
samidaresensei	五月雨先生
yamiwa	やみわ
geba	ゲバ
asagiri	朝霧
shizu	しづ
yupiwo	ゆぴを
kagami	鏡
aki	アキ
sawa	サヮ
shiratama	しらたま
zono	ゾノ
bei	べい
sora	そら
takamarusuisan	たか丸水産
dorukuma	どるくま
mio	みお
mameta	豆太
masapou	まさぽぅ
kojika	こじか
airi	あいり
furifurimomo	フリフリモモ
yokubarisu	ヨクバリス
saki	さき
kozue	こずえ
nohito	のひと
akaneko	あかねこ
suzukaken	スズカケン
shigao	しがお
kaze	風
tanayuki	たなゆき
shizuru	しずる
yumemakura	夢まくら
riri	りり
azumine	あずみね
haineko	灰猫
kaguhakobi	家具運び
shunta	駿太
gizura	ギズラ
kakko	かっこ
toki	鴇
mekajiki	めかじき
amakusa	あまくさ
shio	しお
nimono	にもの
ramu	ラム
shitami	したみ
suzaku	スザク
kimayun	きまゆん
fuyuyu	ふゆゆ
satori	さとり
kino	きの
daiki	だいき
onekun	おねくん
otoko	おと子
saba	さば
sakusaku	さくさく
kurokome	黒米
muumi	むぅみ
amin	あみん
yasosuke	やそすけ
yoshikawa	ヨシカワ
kamikitakomari	かみきたこまり
anpan	あんぱん
yuina	ゆいな
dokkesu	ドッケス
shigure	しぐれ
yukikaze	ゆきかぜ
ari	あり
guraburu	ぐらぶる
kaede	かえで
rokka	ろっか
meu	めう
haibikun	ハイビ君
tamamizu	玉水
fushiko	ふしこ
yuumi	ゆうみ
rio	りお
haa	はー
pyoko	ぴょこ
kiina	キイナ
kyon	きょん
mahama	まはま
chomu	ちょむ
takahashinameko	高橋なめ子
nano	なの
metappou	メタッポウ
reito	玲斗
onikure	おにくれ
hiyori	日和
heki	碧
shigure	時雨
edamame	エダマメ
miyukin	みゆきん
pengin	ぺんぎん
kozakku	コザック
daimaru	だいまる
choko	チョコ
rarudango	ラル団子
aina	あいな
hiyoko	ひよこ
rio	りお
sana	さな
kotobuki	ことぶき
yamashiro	山城
kanakeke	かなけけ
umeko	うめこ
urusaishiwasu	五月蝿い師走
shinohara	しのはら
aabakadana	ああバカだな
ejirin	えじりん
hiron	ひろん
shijimi	しじみ
sumomo	スモモ
washimi	鷲見
mamazame	ままざめ
nika	にか
aimi	あいみ
remi	れみ
taru	たる
murasaki	むらさき
hibikiai	ひびき藍
youshikibi	様式美
mugyugyu	むぎゅぎゅ
ukogi	うこぎ
makichi	まきち
natsu	なつ
masakishinya	正木慎也
usagisan	兎さん
komyu	こみゅ
maikun	マイ君
orurai	おるらい
kano	かの
chibiusachan	チビうさちゃん
haren	ハレン
hitochi	ひとち
tatsuya	たつや
miku	みく
nozepoyo	のぜぽよ
hiyori	日和
hisa	ひさ
takutakue	たくたくえ
marimo	マリモ
vorira	ゔぉりら
aiueo	あいうえお
umu	う無
dakkoara	だっこあら
begaroka	べがろか
yume	ユメ
manamonano	まなもなの
ajisai	あじさい
furuido	ふるいど
raratan	ららたん
momo	もも
au	あぅ
memochan	めもちゃん
noa	のあ
ima	いま
neochikareshi	寝落ち彼氏
masaya	まさや
kantaro	かんたろ
toi	とい
bayashi	バヤシ
mongorungo	もんごるんご
tatsumi	辰巳
guraemon	ぐらえもん
takaten	たかてん
arechi	あれち
murapen	ムラペン
kiku	菊
naru	なる
samechi	さめち
bansan	バンサン
nireki	楡木
yuusan	ゆうさん
akasaka	あかさか
matatabi	マタタビ
taiyaki	たい焼き
anko	あんこ
pinya	ぴにゃ
tanishi	ﾀﾆｼ
aki	アキ
ikuyumu	いくゆむ
gajumaru	ガジュマル
tebasaki	てばさき
yuki	ゆき
fukuchi	福地
murapen	ムラペン
yunakazu	ユナカズ
towa	とわ
hiro	ヒロ
mineiyutaka	嶺井豊
rinna	凛那
nanona	なのな
damedamewanko	だめだめわんこ
kurotarou	黒太郎
ponzu	ぽんず
chika	知佳
kotatsuinu	こたつ犬
kuma	くま
akuneno	あくねの
sayu	さゆ
shiodoki	潮時
genmaitabeko	玄米たべこ
atsuka	あつか
akimin	あきみん
yahaku	やはく
ueeee	うええええ
ria	莉亜
izayoi	いざよい
pepechi	ぺぺち
sasamegu	ささメグ
sayu	さゆ
moe	もえ
chinako	ちなこ
warewaredan	我々団
urisan	うりさん
kosuzu	胡鈴
ryu	りゅ
nanriu	ナンリウ
reri	レリ
numauo	ぬまうお
chiisuke	ちーすけ
nijiokasan	虹岡さん
uraniwa	裏庭
suzuno	鈴野
sakura	さくら
goripon	ゴリぽん
takenohana	竹の花
moru	もる
nekomu	ねこむ
narikesoji	なりけそじ
naposhita	なぽした
shuri	シュリ
ayupon	あゆぽん
gitaharo	ギタハロ
dateatsushi	伊達敦
moyashi	もやし
zakura	ざくら
ruto	ると
komachi	こまち
akashino	赤篠
buren	ぶれん
kanawa	カナワ
kuro	くろ
imokonnu	いもこんぬ
tamanegi	たまねぎ
shikeku	しけく
rei	零
peten	ぺてん
koke	こけ
metakuzu	メタクズ
kuro	くろ
miiko	みーこ
akirapa	アキラパ
denkichi	でんきち
ogawajunya	おがわじゅんや
egurin	えぐりん
moka	もか
kurotoriyuki	黒鳥ユキ
ebisuna	えびすな
pao	ぱお
nao	なお
minose	みのせ
tsukemono	漬物
utakata	うたかた
kisasan	きささん
karino	かりの
moka	もか
sana	サナ
hajikko	はじっこ
miiamaru	みーあまる
kyon	キョン
takeko	たけこ
wasabi	わさび
chu	ちゅ
sanue	さぬえ
arukun	あるくん
meru	める
ayako	アヤコ
sena	瀬那
erui	ゑるゐ
neokiwaruko	ねおきわるこ
natsume	棗
tsuyoshi	つよし
mikage	みかげ
tsushi	ツシ
oruma	オルマ
moichi	もいち
buremega	ブレメガ
sayo	さよ
kuro	くろ
piyochiyo	ピヨ千代
aoyami	蒼闇
daiki	大暉
koyakoya	こやこや
minamonte	みなもんて
machaki	まちゃき
kuro	くろ
reddoburu	レッドブル
hatori	はとり
souta	そう太
wanineko	鰐猫
misagosan	ミサゴさん
migiri	砌
miyu	みゆ
fuyu	ふゆ
gunjou	群青
airakukaria	哀楽狩阿
poroporo	ポロポロ
hajikko	はじっこ
areumi	あれうみ
yanpa	やんぱ
momoyuki	桃雪
masanori	マサノリ
konoe	このえ
taichi	たいち
myumyuroro	みゅみゅろろ
masaka	まさか
kairi	かいり
kanisoru	カニそる
yoideai	良い出会い
pitotema	ぴとてま
gunjou	群青
paipankan	パイパン館
mefuyu	めふゆ
tonkun	とんくん
hamatani	濱谷
min	みん
hatori	はとり
okawari	おかわり
niugatsu	にぅがつ
kabahan	河馬半
rukia	ルキア
arakidonsan	あらきどんさん
edamame	えだまめ
kanoko	かのこ
yukorin	ゆこりん
rapisu	ラピス
pandakopanda	ぱんだｺぱんだ
komia	こみあ
kitasamurai	きたさむらい
yonesan	よねさん
sai	サイ
yasashiiwasabi	優しいワサビ
mero	めろ
